sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18866226375
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21045377349
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17494677319
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19288819311
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.14892655582
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21699321332
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17633665601
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.24466132407
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.25644868634
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18450175048
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.25323452837
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20782418883
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18246964173
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19211414722
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2198141049
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22720820621
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22715099946
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20159895206
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.14413360667
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22947803882
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.26519965905
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.24992026045
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22436600164
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19868260478
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2379485428
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19211260532
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.2163275642
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17029513335
