sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_820/ABCOpt19/7/	1.0	26.868805584	0.578009095574	1.10636814379	-0.465667360707	-0.709681379164	-0.277301957825
ABC_820/ABCOpt2/7/	1.0	123.195596265	0.528462221712	1.05288691521	-0.417320074354	-0.593988779837	-0.291263578368
ABC_820/ABCOpt20/7/	1.0	133.35058126	0.554466062952	1.08062510612	-0.44067546761	-0.674553245508	-0.282879328448
ABC_820/ABCOpt21/7/	1.0	10.0967664314	0.572072705732	1.09981976727	-0.441379968239	-0.61838182956	-0.285800064422
ABC_820/ABCOpt22/7/	1.0	239.172244827	0.521014858602	1.04507480994	-0.435401905148	-0.617975300639	-0.273190966986
ABC_820/ABCOpt23/7/	1.0	69.9035031233	0.543042651355	1.06835092076	-0.423715370669	-0.651613957643	-0.259417508455
ABC_820/ABCOpt24/7/	1.0	43.554865403	0.541759235206	1.06698066143	-0.444981627575	-0.703359959926	-0.271362784792
ABC_820/ABCOpt25/7/	1.0	17.5051263634	0.581830965562	1.11060462949	-0.454213883161	-0.640815628639	-0.303385945094
ABC_820/ABCOpt26/7/	1.0	133.345491373	0.542080139254	1.06732311479	-0.421217053355	-0.65800445251	-0.249630581894
ABC_820/ABCOpt27/7/	1.0	144.55063314	0.527329278791	1.0516947299	-0.408042688148	-0.564144737655	-0.256817023715
ABC_820/ABCOpt28/7/	1.0	3.81560866418	0.567136176712	1.09440385397	-0.459102103511	-0.719573022068	-0.319347636942
ABC_820/ABCOpt29/7/	1.0	135.091083025	0.554794369627	1.0809799408	-0.44892195997	-0.629091244301	-0.283128074209
ABC_820/ABCOpt3/7/	1.0	244.058529587	0.509975771509	1.03360158159	-0.423910509957	-0.651788894178	-0.280304756704
ABC_820/ABCOpt30/7/	1.0	167.880585039	0.530623525581	1.05516498468	-0.404366210616	-0.656548228084	-0.199592368091
ABC_820/ABCOpt31/7/	1.0	16.5884764071	0.592826354119	1.12288354091	-0.469004038971	-0.691884552485	-0.316155046682
ABC_820/ABCOpt32/7/	1.0	61.2557390958	0.559740882891	1.08634026895	-0.438643075556	-0.65446467092	-0.260702056638
ABC_820/ABCOpt33/7/	1.0	201.592524659	0.539727914526	1.06481548138	-0.424834936537	-0.582889658929	-0.259674404777
ABC_820/ABCOpt34/7/	1.0	92.8788904985	0.558331830465	1.08481063648	-0.450112307684	-0.620456346862	-0.326794154942
ABC_820/ABCOpt35/7/	1.0	192.814079257	0.529996521501	1.0545035993	-0.400586684517	-0.637097402798	-0.205929209524
ABC_820/ABCOpt36/7/	1.0	21.3629814836	0.57374964181	1.10166564199	-0.458097181516	-0.691001762068	-0.2758293864
ABC_820/ABCOpt37/7/	1.0	153.100766432	0.541409804922	1.06660789121	-0.429145796196	-0.641971823324	-0.259882590301
ABC_820/ABCOpt38/7/	1.0	77.1812388199	0.558285271341	1.08476012983	-0.439766920031	-0.671581760084	-0.302808570722
ABC_820/ABCOpt39/7/	1.0	138.084289878	0.554774031294	1.0809579557	-0.432943799276	-0.664898693477	-0.276565658668
ABC_820/ABCOpt4/7/	1.0	48.3925778037	0.559934872343	1.08655102795	-0.449371133273	-0.66642130138	-0.269213928049
ABC_820/ABCOpt40/7/	1.0	210.971980078	0.535281867012	1.06009176986	-0.435836611621	-0.645825488666	-0.226009334624
ABC_820/ABCOpt41/7/	1.0	186.205556808	0.538261741741	1.06325542184	-0.41848941171	-0.593171824544	-0.261252435086
ABC_820/ABCOpt42/7/	1.0	244.72472441	0.503637186629	1.02707073027	-0.397205515748	-0.574290337268	-0.246807365956
ABC_820/ABCOpt43/7/	1.0	205.861870027	0.528415787587	1.05283802646	-0.420853211484	-0.59640190089	-0.236280667034
ABC_820/ABCOpt44/7/	1.0	134.98608931	0.537038089112	1.06195516224	-0.41751829322	-0.61271783664	-0.207009534485
ABC_820/ABCOpt45/7/	1.0	12.6715578809	0.561929368139	1.088720312	-0.440225957148	-0.702780904966	-0.252432706032
ABC_820/ABCOpt46/7/	1.0	54.9621586284	0.562549358601	1.0893955175	-0.448020018283	-0.658719327389	-0.281556983129
ABC_820/ABCOpt47/7/	1.0	76.1522994415	0.550008510506	1.07581888299	-0.435998863159	-0.745940263208	-0.292481828561
ABC_820/ABCOpt48/7/	1.0	224.623655007	0.501330920866	1.02470476154	-0.409769084209	-0.645227522687	-0.260475740982
ABC_820/ABCOpt49/7/	1.0	178.665064818	0.526639251825	1.05096928249	-0.415739497944	-0.676086839451	-0.251361525913
ABC_820/ABCOpt5/7/	1.0	56.7454684851	0.551051847446	1.07694191032	-0.443358019088	-0.615751544412	-0.309922862549
ABC_820/ABCOpt6/7/	1.0	63.4589594709	0.56172602319	1.08849894873	-0.447028920102	-0.65159061384	-0.323219095645
ABC_820/ABCOpt7/7/	1.0	142.115912985	0.534505792631	1.05926937896	-0.43656198853	-0.754008142719	-0.278529912324
ABC_820/ABCOpt8/7/	1.0	216.779962389	0.530329512306	1.05485479777	-0.417634106441	-0.573516742209	-0.231493348144
ABC_820/ABCOpt9/7/	1.0	52.4778282082	0.550645692964	1.07650459435	-0.450557190219	-0.64877031881	-0.269839522471
ABC_840/ABCOpt/7/	1.0	52.6313874341	0.556723530411	1.08306733773	-0.448960601525	-0.640933393218	-0.283886167898
ABC_840/ABCOpt1/7/	1.0	102.82038453	0.545066220186	1.07051499122	-0.419653061236	-0.592919176765	-0.236473193123
ABC_840/ABCOpt10/7/	1.0	193.631217438	0.524318185926	1.04853274231	-0.40534627262	-0.653390858681	-0.259866980737
ABC_840/ABCOpt11/7/	1.0	7.76397537994	0.580274142011	1.10887695923	-0.460234596753	-0.6688898379	-0.285213510859
ABC_840/ABCOpt12/7/	1.0	19.6741201559	0.564931272283	1.09199345639	-0.470785377869	-0.68550483354	-0.310464378439
ABC_840/ABCOpt13/7/	1.0	45.5245875512	0.555946197621	1.08222576111	-0.453005602236	-0.64330597924	-0.291078620582
ABC_840/ABCOpt14/7/	1.0	109.464250137	0.533901598318	1.05862956773	-0.413524782122	-0.570216261721	-0.285134223545
ABC_840/ABCOpt15/7/	1.0	188.746797001	0.53957139723	1.06464883239	-0.417557712628	-0.688950601482	-0.262549675166
ABC_840/ABCOpt16/7/	1.0	55.9227008636	0.546694356234	1.07225935492	-0.448560901213	-0.623787605072	-0.275921757722
ABC_840/ABCOpt17/7/	1.0	235.216770524	0.500305667604	1.02365471801	-0.425514529608	-0.601481478159	-0.277199359724
ABC_840/ABCOpt18/7/	1.0	132.319722095	0.553218517404	1.07927781766	-0.420261508017	-0.665016061109	-0.257565011925
ABC_840/ABCOpt19/7/	1.0	236.017920756	0.514244627604	1.03802330914	-0.418324182346	-0.580781496079	-0.261313549721
ABC_840/ABCOpt2/7/	1.0	138.224751437	0.544066943804	1.06944578518	-0.426723081413	-0.604218185444	-0.274896042223
ABC_840/ABCOpt20/7/	1.0	25.9958975139	0.566880419891	1.09412398851	-0.451888242761	-0.630655480229	-0.317419775981
ABC_840/ABCOpt21/7/	1.0	67.6930212573	0.558131391596	1.08459322006	-0.456225517141	-0.631856361446	-0.31037805452
ABC_840/ABCOpt22/7/	1.0	108.317195066	0.561301072457	1.08803648858	-0.433513094719	-0.617942442413	-0.236956512841
ABC_840/ABCOpt3/7/	1.0	115.633541842	0.540202308974	1.06532074377	-0.428657644826	-0.680465973854	-0.293712919254
ABC_840/ABCOpt4/7/	1.0	88.064287086	0.559481177094	1.08605817672	-0.445850206928	-0.699103562251	-0.24480347195
ABC_840/ABCOpt5/7/	1.0	179.063025652	0.524519406809	1.04874375022	-0.418596136909	-0.716761358319	-0.290229346584
ABC_840/ABCOpt6/7/	1.0	234.434223721	0.511055061491	1.03471773964	-0.410223453788	-0.573090149998	-0.21013842271
ABC_840/ABCOpt7/7/	1.0	127.718482251	0.551126836857	1.07702267259	-0.436597217178	-0.629173943611	-0.28255608301
ABC_840/ABCOpt8/7/	1.0	95.1022520041	0.538289793809	1.06328524877	-0.445452032024	-0.691030952265	-0.308336606499
ABC_840/ABCOpt9/7/	1.0	196.505947481	0.532118219324	1.05674331245	-0.44516305532	-0.642110605331	-0.223627449738
